1,1,7,33,11,8,83,0.40,0.16,7,8,3,13,59,-0.16,0.55,6,67,25,32,43,13,16,0.24
2,1,13,37,7,7,74,0.50,0.31,11,8,6,6,73,0.01,0.46,3,46,28,35,54,25,37,0.28
3,2,6,60,13,8,123,0.49,0.31,11,6,4,16,101,-0.11,0.45,2,89,31,60,74,23,46,0.19
4,2,15,63,11,7,115,0.55,0.39,13,10,2,15,104,-0.12,0.45,4,85,39,62,78,30,49,0.25
5,3,17,3,5,10,82,0.46,0.28,10,6,5,13,67,0.08,0.32,4,65,19,37,53,19,25,0.25
6,3,12,39,10,4,80,0.49,0.21,5,6,4,8,73,0.00,0.50,5,54,36,38,48,19,31,0.20
7,4,16,53,7,8,104,0.51,0.36,5,12,6,16,89,-0.07,0.55,2,76,29,51,64,17,36,0.21
8,4,18,59,5,4,101,0.57,0.49,7,7,2,18,94,-0.12,0.51,6,73,36,58,68,19,38,0.23
9,5,2,45,7,10,95,0.47,0.29,4,7,9,22,96,-0.12,0.38,5,68,36,44,58,22,21,0.24
10,5,4,51,4,8,95,0.54,0.41,7,11,5,29,97,-0.22,0.36,9,74,29,51,63,20,17,0.16
11,6,14,45,7,9,111,0.41,0.26,9,22,2,20,100,-0.15,0.45,5,66,51,40,56,18,22,0.26
12,6,1,53,9,11,124,0.43,0.26,7,21,5,30,96,-0.24,0.40,2,80,47,53,65,17,19,0.17
13,7,8,54,10,11,117,0.46,0.28,13,15,4,24,112,-0.15,0.44,10,86,48,51,71,26,24,0.22
14,7,11,58,13,9,130,0.45,0.27,10,13,10,29,115,-0.13,0.43,4,8,41,58,78,29,34,0.23
15,8,3,51,4,8,80,0.64,0.48,11,11,6,19,97,-0.12,0.50,3,64,28,51,68,23,37,0.24
16,8,10,48,11,6,94,0.51,0.33,4,3,3,21,85,-0.17,0.38,6,78,17,48,55,12,22,0.15
17,9,5,57,7,16,116,0.49,0.29,14,17,3,20,105,-0.17,0.52,3,84,40,56,74,21,35,0.25
18,9,9,62,14,4,122,0.05,0.36,7,11,3,25,109,-0.18,0.42,3,85,37,61,72,16,40,0.24
19,10,6,55,13,2,10,0.52,0.38,7,10,2,18,85,-0.17,0.46,8,78,41,54,64,19,34,0.14
20,10,17,49,7,2,97,0.51,0.41,13,6,8,17,95,-0.07,0.51,2,67,30,44,70,31,49,0.27
21,11,15,75,11,12,143,0.52,0.36,7,11,7,19,115,-0.08,0.36,8,100,55,74,89,31,50,0.13
22,11,13,65,7,8,139,0.47,0.36,11,14,8,17,117,-0.02,0.43,7,96,48,64,84,24,51,0.20
23,12,4,42,5,4,71,0.59,0.46,10,5,2,20,74,-0.21,0.50,2,48,28,51,54,21,28,0.15
24,12,10,30,10,4,66,0.45,0.24,5,5,2,15,64,-0.19,0.46,2,54,13,29,37,8,16,0.31
25,13,9,51,8,9,112,0.46,0.30,7,21,6,18,99,-0.12,0.36,5,77,49,50,64,23,31,0.13
26,13,11,60,7,6,123,0.49,0.38,8,9,5,25,102,-0.15,0.40,6,81,43,57,73,25,35,0.15
27,14,3,51,7,5,88,0.57,0.44,9,7,5,15,97,-0.08,0.59,4,59,30,50,65,25,40,0.36
28,14,2,47,9,11,105,0.45,0.25,7,4,4,21,80,-0.19,0.56,5,82,31,46,58,14,21,0.28
29,15,5,58,7,5,100,0.57,0.46,15,13,1,16,97,-0.12,0.51,6,73,43,55,74,26,47,0.27
30,15,8,53,15,7,121,0.44,0.25,7,12,6,16,89,-0.12,0.44,1,81,32,50,66,19,41,0.25
31,16,17,40,4,5,72,0.56,0.43,9,6,2,10,73,-0.03,0.40,3,45,22,35,51,24,33,0.28
32,16,7,35,9,7,74,0.47,0.25,4,1,3,14,59,-0.16,0.48,2,63,22,35,42,12,17,0.28
33,17,12,75,10,5,138,0.54,0.43,4,15,5,17,110,-0.08,0.54,4,84,53,73,84,28,58,0.13
34,17,13,70,4,3,123,0.56,0.05,10,13,4,23,107,-0.16,0.51,5,93,41,69,84,22,53,0.17
35,18,2,54,13,9,123,0.44,0.26,5,12,1,17,88,-0.15,0.53,8,78,51,54,60,13,25,0.23
36,18,14,50,5,5,99,0.51,0.40,13,14,8,20,98,-0.12,0.57,1,71,33,48,71,20,44,0.25
37,19,9,27,9,8,83,0.33,0.12,2,7,4,14,59,-0.16,0.28,2,58,36,27,33,13,8,0.10
38,19,18,41,2,7,78,0.53,0.41,9,12,2,15,73,-0.13,0.42,4,45,31,40,52,22,25,0.18
39,20,10,46,0,3,88,0.52,0.37,4,5,6,13,74,-0.05,0.55,4,56,33,46,56,25,35,0.27
40,20,1,33,4,7,75,0.44,0.29,10,11,4,10,66,-0.10,0.33,6,61,25,33,47,18,23,0.10
41,21,16,40,8,5,83,0.48,0.32,12,7,3,14,76,-0.14,0.40,6,57,23,38,55,23,30,0.26
42,21,8,34,12,9,81,0.42,0.16,8,11,6,13,70,-0.10,0.42,3,62,33,34,48,20,23,0.24
43,22,6,47,10,9,113,0.42,0.24,11,12,4,12,92,0.00,0.38,5,74,29,42,62,26,35,0.18
44,22,12,57,11,8,116,0.49,0.32,10,14,5,20,94,-0.14,0.45,4,80,56,53,72,28,40,0.15
45,23,7,55,16,10,123,0.45,0.23,10,13,3,16,94,-0.12,0.59,4,94,41,54,68,20,37,0.34
46,23,15,62,10,8,114,0.54,0.38,16,18,4,15,109,-0.08,0.57,3,78,32,59,82,34,54,0.35
47,24,3,36,8,4,66,0.55,0.36,9,6,2,17,73,-0.17,0.47,2,45,22,35,47,17,24,0.31
48,24,14,31,9,9,75,0.41,0.17,8,4,2,19,64,-0.24,0.43,2,56,22,31,41,9,11,0.14
49,25,4,55,6,6,105,0.52,0.41,8,10,7,19,97,-0.11,0.53,3,70,36,54,70,24,42,0.30
50,25,1,50,8,7,102,0.49,0.34,6,11,3,17,87,-0.13,0.41,7,78,36,50,59,14,25,0.23
51,26,5,65,18,8,154,0.42,0.25,14,15,4,21,116,-0.13,0.50,5,100,60,63,83,28,49,0.21
52,26,18,67,14,11,151,0.44,0.27,18,23,5,19,119,-0.11,0.47,4,95,59,65,90,35,54,0.20
53,27,16,37,8,13,95,0.39,0.16,6,11,2,13,62,-0.17,0.45,3,69,33,36,45,14,16,0.22
54,27,11,40,6,6,80,0.50,0.35,8,12,3,9,78,-0.02,0.45,2,49,31,38,51,21,33,0.31
55,28,17,51,9,6,97,0.53,0.37,10,10,7,19,104,-0.08,0.40,5,78,27,48,68,23,37,0.17
56,28,13,59,10,11,112,0.53,0.33,9,15,5,24,102,-0.18,0.40,7,85,34,58,73,25,30,0.12
57,29,6,41,8,7,77,0.53,0.33,6,6,7,7,73,0.05,0.48,3,56,15,40,54,19,37,0.23
