1,1,2026-06-10,7,13,"Linyi, China"
2,1,2026-06-10,6,15,"Linyi, China"
3,1,2026-06-10,17,12,"Linyi, China"
4,1,2026-06-10,16,18,"Ottowa, Canada"
5,1,2026-06-11,2,4,"Brasilia, Brazil"
6,1,2026-06-11,14,1,"Brasilia, Brazil"
7,1,2026-06-11,8,11,"Ottowa, Canada"
8,1,2026-06-11,3,10,"Brasilia, Brazil"
9,1,2026-06-11,5,9,"Ottowa, Canada"
10,1,2026-06-11,6,17,"Linyi, China"
11,1,2026-06-11,15,13,"Linyi, China"
12,1,2026-06-12,4,10,"Brasilia, Brazil"
13,1,2026-06-12,9,11,"Ottowa, Canada"
14,1,2026-06-12,3,2,"Brasilia, Brazil"
15,1,2026-06-12,5,8,"Ottowa, Canada"
16,1,2026-06-12,17,7,"Linyi, China"
17,1,2026-06-12,12,13,"Linyi, China"
18,1,2026-06-13,2,14,"Brasilia, Brazil"
19,1,2026-06-13,9,18,"Ottowa, Canada"
20,1,2026-06-13,10,1,"Brasilia, Brazil"
21,1,2026-06-13,16,8,"Ottowa, Canada"
23,1,2026-06-13,7,15,"Linyi, China"
24,1,2026-06-13,3,14,"Brasilia, Brazil"
25,1,2026-06-14,4,1,"Brasilia, Brazil"
26,1,2026-06-14,5,18,"Ottowa, Canada"
27,1,2026-06-14,16,11,"Ottowa, Canada"
28,1,2026-06-14,17,13,"Linyi, China"
29,1,2026-06-14,6,7,"Linyi, China"
30,1,2026-06-14,15,12,"Linyi, China"
31,1,2026-06-14,2,10,"Brasilia, Brazil"
32,1,2026-06-14,9,8,"Ottowa, Canada"
33,1,2026-06-15,4,14,"Brasilia, Brazil"
34,1,2026-06-15,5,16,"Ottowa, Canada"
35,1,2026-06-15,3,1,"Brasilia, Brazil"
36,1,2026-06-15,18,11,"Ottowa, Canada"
37,2,2026-06-24,6,16,"Gliwice, Poland"
38,2,2026-06-24,4,11,"Ljubljana, Slovenia"
39,2,2026-06-24,14,12,"Orleans, France"
40,2,2026-06-24,1,9,"Gliwice, Poland"
41,2,2026-06-24,17,3,"Ljubljana, Slovenia"
42,2,2026-06-24,7,18,"Orleans, France"
43,2,2026-06-25,13,2,"Gliwice, Poland"
68,2,2026-06-28,5,3,"Ljubljana, Slovenia"
22,1,2026-06-13,6,12,"Linyi, China"
45,2,2026-06-25,15,5,"Ljubljana, Slovenia"
46,2,2026-06-25,6,2,"Gliwice, Poland"
47,2,2026-06-25,17,11,"Ljubljana, Slovenia"
48,2,2026-06-25,10,18,"Orleans, France"
49,2,2026-06-26,13,16,"Gliwice, Poland"
50,2,2026-06-26,8,7,"Orleans, France"
51,2,2026-06-26,15,4,"Ljubljana, Slovenia"
52,2,2026-06-26,6,1,"Gliwice, Poland"
53,2,2026-06-26,17,5,"Ljubljana, Slovenia"
54,2,2026-06-26,10,12,"Orleans, France"
55,2,2026-06-27,2,9,"Gliwice, Poland"
56,2,2026-06-27,3,11,"Ljubljana, Slovenia"
57,2,2026-06-27,14,7,"Orleans, France"
58,2,2026-06-27,4,5,"Ljubljana, Slovenia"
59,2,2026-06-27,18,12,"Orleans, France"
60,2,2026-06-27,13,9,"Gliwice, Poland"
61,2,2026-06-28,16,1,"Gliwice, Poland"
62,2,2026-06-28,15,3,"Ljubljana, Slovenia"
64,2,2026-06-28,6,9,"Gliwice, Poland"
65,2,2026-06-28,4,17,"Ljubljana, Slovenia"
66,2,2026-06-28,10,7,"Orleans, France"
67,2,2026-06-28,2,16,"Gliwice, Poland"
71,2,2026-06-29,15,11,"Ljubljana, Slovenia"
72,2,2026-06-29,14,18,"Orleans, France"
63,2,2026-06-28,8,14,"Orleans, France"
44,2,2026-06-25,8,10,"Ljubljana, Slovenia"
69,2,2026-06-28,8,12,"Orleans, France"
70,2,2026-06-29,13,1,"Gliwice, Poland"
73,3,2026-07-15,5,1,"Osaka, Japan"
74,3,2026-07-15,2,7,"Osaka, Japan"
75,3,2026-07-15,12,11,"Osaka, Japan"
76,3,2026-07-15,9,15,"Belgarde, Serbia"
77,3,2026-07-15,17,10,"Belgarde, Serbia"
78,3,2026-07-16,4,13,"Chicago, USA"
79,3,2026-07-16,14,16,"Belgrade, Serbia"
80,3,2026-07-16,8,3,"Chicago, USA"
81,3,2026-07-16,18,6,"Chicago, USA"
82,3,2026-07-16,2,11,"Osaka, Japan"
83,3,2026-07-16,12,5,"Osaka, Japan"
84,3,2026-07-16,10,9,"Belgrade, Serbia"
85,3,2026-07-17,14,17,"Belgrade, Serbia"
86,3,2026-07-17,6,8,"Chicago, USA"
87,3,2026-07-17,18,3,"Chicago, USA"
88,3,2026-07-17,7,1,"Osaka, Japan"
89,3,2026-07-17,12,2,"Osaka, Japan"
90,3,2026-07-17,16,17,"Belgrade, Serbia"
91,3,2026-07-18,10,15,"Belgrade, Serbia"
92,3,2026-07-18,6,4,"Chicago, USA"
93,3,2026-07-18,3,13,"Chicago, USA"
94,3,2026-07-18,5,7,"Osaka, Japan"
95,3,2026-07-18,1,11,"Osaka, Japan"
96,3,2026-07-18,16,15,"Belgrade, Serbia"
97,3,2026-07-19,14,9,"Belgrade, Serbia"
98,3,2026-07-19,8,13,"Chicago, USA"
99,3,2026-07-19,18,4,"Chicago, USA"
100,3,2026-07-19,2,5,"Osaka, Japan"
101,3,2026-07-19,7,11,"Osaka, Japan"
102,3,2026-07-19,12,1,"Osaka, Japan"
103,3,2026-07-19,16,10,"Belgrade, Serbia"
104,3,2026-07-19,17,9,"Belgrade, Serbia"
