1,Alejandro Miguel Gonzales Rodrigues,7,OPP,207,2003-12-03,9,23
2,Nivaldo Nadhir Dias Gomez,7,OH,207,1994-03-24,10,32
3,Alexis Wilson Velazquez,7,OH,202,2003-10-23,99,22
4,Julio Cesar Cardenas Morales,7,OH,200,2000-09-04,3,25
5,Julio Alberto Gomez Galvez,7,S,194,1999-07-24,8,26
6,David Fiel Rodriguez,7,MB,205,1993-08-28,15,32
7,Thiago Suarez Mendoza,7,MB,194,2004-09-15,20,21
8,Daniel Guillermo Martinez Campos,7,OPP,215,2005-09-10,30,20
9,Victor Ramon Andreu Flores,7,OH,188,2001-08-31,32,24
10,Bryan Camino Martinez,7,OH,186,2003-02-23,4,23
11,Yonder Roman Garcia Alvarez,7,L,175,1993-02-26,7,33
12,Lazaro Yudiel Arrechea Najorro,7,L,190,2000-03-16,12,26
13,Jakdiel Contreras Acosta,7,MB,203,2004-07-27,17,21
14,Christian Manuel Thondike Mejias,7,S,190,2001-05-28,28,25
15,Bartosz Gomulka,13,OPP,204,2002-05-30,50,24
17,Michal Gierzot,13,OPP,208,2001-10-04,27,24
18,Bartolomiej Lemanski,13,MB,217,1996-03-18,7,30
19,Aleksander Sliwka,13,OH,196,1995-05-24,11,31
21,Bartosz Zych,13,OH,207,2006-07-15,58,19
22,Aliaksei Nasevich,13,OPP,200,2003-06-05,1,23
23,Jakub Ciunajtis,13,L,180,1998-08-06,13,27
24,Maksymilian Granieczny,13,L,179,2005-07-07,18,20
25,Bartosz Firszt,13,OH,198,1999-03-19,19,27
26,Marcel Bakaj,13,S,189,2004-11-05,32,21
27,Szymon Jakubiszak,13,MB,210,1998-02-13,34,28
28,Jan Firlej,13,S,188,1996-09-26,96,29
29,Zihua Wen,6,OPP,201,1999-11-25,1,26
30,Yuantai Yu,6,OH,186,1997-12-03,6,28
31,Bin Wang,6,OH,195,2001-06-23,23,25
32,Yongzhen Li,6,MB,198,1998-08-07,9,27
33,Chuan Jiang,6,OPP,205,1994-08-09,2,31
34,Shikun Peng,6,MB,208,2000-08-26,15,25
35,Hebin Wang,6,S,188,1997-06-27,3,27
36,Lei Li,6,OH,201,2001-04-23,4,25
37,Tianyue Li,6,OH,183,2001-10-22,7,24
38,Zhai Wu,6,S,189,1997-10-10,50,24
39,Zongshuai Qu,6,L,186,1999-01-20,16,27
40,Changli Wang,6,MB,205,2002-08-10,18,23
41,Baoqi Yang,6,OH,197,2004-08-28,24,21
42,Zhihong Xue,6,OH,195,2001-10-27,27,24
43,Rok Mozic,15,OH,200,2002-01-17,19,24
44,Nik Mujanovic,15,OPP,207,2004-10-14,20,26
45,Toncek Stern,15,OPP,200,1995-11-14,1,30
46,Alen Pajenk,15,MB,203,1986-04-23,2,40
47,Jan Kozamernik,15,MB,204,1995-12-24,4,30
48,Rok Bracko,15,OH,194,2004-04-21,8,22
49,Uros Planinsic,15,S,185,1998-05-09,3,28
50,Luka Marovt,15,OH,195,2005-01-13,7,21
52,Grega Okroglic,15,L,185,2004-06-09,12,22
53,Jani Kovacic,15,L,186,1992-06-14,13,34
54,Janz Janez Krzic,15,MB,202,2003-06-26,22,23
55,Nejc Najdic,15,S,198,2006-05-05,24,20
56,Klemen Sen,15,OH,192,2002-06-10,25,24
57,Dmytro Yanchuk,17,OH,197,1999-05-19,8,27
58,Vasyl Tupchii,17,OPP,194,1992-01-13,13,34
59,Illa Kovalov,17,OH,190,1996-08-31,14,29
60,Yurii Semeniuk,17,MB,210,1994-05-12,10,32
61,Vladyslav Shchurov,17,MB,208,2001-04-27,27,25
62,Tonkonoh Maksym,17,OPP,214,2007-10-22,26,18
63,Yurii Synytsia,17,S,194,1992-08-22,7,32
64,Yevhenii Kisiliuk,17,OH,197,1995-01-27,21,31
65,Vitalii Shychytkov,17,S,186,1991-11-25,15,34
66,Yevhenii Boiko,17,OH,185,2005-02-28,19,21
67,Oleksandr Nalozhnyi,17,OH,196,1996-07-24,20,29
68,Denys Veletskyi,17,MB,205,2000-01-15,22,26
69,Yaroslav Pampushko,17,L,180,2001-11-11,24,24
70,Andrii Chelenyak,17,MB,200,2005-01-02,30,21
71,Yuji Nishida,12,OPP,187,2000-01-30,1,26
72,Ran Takahashi,12,OH,188,2001-09-02,12,24
73,Kento Miyaura,12,OPP,190,1999-02-22,4,27
74,Yuki Ishikawa,12,OH,191,1995-12-11,14,30
75,Taishi Onodera,12,MB,202,1996-02-27,2,30
76,Larry Ik Evbade-Dan,12,MB,195,2000-08-18,23,25
77,Motoki Eiro,12,S,192,1996-06-08,21,30
78,Hideomi Fukatsu,12,S,181,1990-06-01,3,36
79,Tatsunori Otsuka,12,OH,195,2000-11-05,5,25
80,Akihiro Yamauchi,12,MB,204,1993-11-30,6,32
81,Kentaro Takahashi,12,MB,201,1995-02-08,10,31
82,Tomohiro Ogawa,12,L,176,1996-07-04,13,30
83,Masato Kai,12,OH,200,2003-09-25,15,22
84,Tomohiro Yamamoto,12,L,171,1994-11-05,20,31
85,Adis Lagumdzija,16,OPP,211,1999-03-29,12,27
86,"Efe Bayra,",16,OH,194,2002-03-01,20,24
87,Ahmet Tumer,16,MB,204,2001-09-15,3,24
88,Bedirhan Bulbul,16,MB,201,1999-07-29,7,26
89,Kaan Gurbuz,16,OPP,200,2001-08-16,1,24
90,Mirza Lagumdzija,16,OH,207,2001-05-18,10,25
91,Murat Yenipazar,16,S,194,1993-01-01,17,33
92,Ahmet Samet Baltaci,16,MB,210,1999-06-08,4,27
93,Marko Matic,16,MB,211,1995-05-22,5,31
94,Gokcen Yuksel,16,OH,204,2004-07-11,6,21
95,Cafer Kirkit,16,OH,194,2001-01-01,8,25
96,Beytullah Hatipolgu,16,L,190,1992-02-24,11,34
97,Berkay Bayraktar,16,L,190,1998-07-03,19,28
98,Muhammed Kaya,16,S,201,1995-02-07,23,31
99,Jake Hanes,18,OPP,210,1998-05-03,17,28
100,Matthew Anderson,18,OH,202,1987-04-18,1,39
101,Jeffrey Jendryk II,18,MB,208,1995-09-15,4,30
102,Ethan Champlin,18,OH,191,2001-11-29,20,24
103,Taylor Averill,18,MB,201,1992-03-05,13,34
104,Micah Ma?a,18,S,192,1997-04-16,14,29
105,Cole Hartke,18,OPP,211,2006-04-20,18,20
106,Mason Briggs,18,L,182,2001-01-12,3,25
107,Cooper Robinson,18,OH,202,2002-08-08,6,23
108,Michael Marshman,18,MB,201,1994-07-27,12,31
20,Adrian Markiewicz,13,MB,213,2002-04-12,24,24
51,Saso Stalekar,15,MB,214,1996-05-03,10,30
109,Andrew Rowan,18,S,201,2003-07-29,15,22
110,Erik Shoji,18,L,184,1989-08-24,22,36
111,Merrick McHenry,18,MB,200,2000-10-17,24,25
112,Jordan Ewart,18,OH,195,1997-03-18,29,29
113,Simeon Nikolov,4,S,207,2006-11-24,1,19
114,Viktor Georgiev,4,MB,205,2003-06-07,2,23
115,Ilia Petkov,4,MB,202,1996-10-10,3,29
116,Denislav Atanasov,4,OH,199,1996-09-27,4,29
117,Martin Asparuhov,4,OH,200,2000-07-28,8,25
118,Aleks Grozdanov,4,MB,208,1998-03-28,11,28
119,Denislav Tatarov,4,OH,200,2003-05-10,12,23
120,Teodor Bozhilov,4,L,180,2000-02-23,14,26
121,Georgi Zhelev,4,OH,200,2001-12-21,15,24
122,Nikolay Antov,4,OPP,195,2004-04-06,18,22
123,Borislav Palev,4,S,188,2003-05-21,20,23
124,Daniel Kolev,4,L,177,2002-01-11,22,24
125,Aleksandar Nikolov,4,OH,207,2003-11-30,23,22
126,Petar Petkov,4,MB,208,2003-10-28,29,22
127,Luciano De Cecco,1,S,193,1988-06-02,15,38
128,Matías Sánchez,1,S,173,1994-09-12,1,31
129,Joaquín Gallego,1,MB,203,1996-11-16,4,29
130,Agustín Loser,1,MB,198,1997-10-12,8,28
131,Nicolás Zerba,1,MB,204,1999-04-15,22,27
132,Germán Gómez,1,OPP,197,2001-03-24,6,25
133,Bruno Lima,1,OPP,198,1996-03-04,12,30
134,Luciano Palonsky,1,OH,198,1999-07-29,7,26
135,Jan Martínez Franchi,1,OH,192,1998-01-12,3,28
136,Manuel Armoa,1,OH,194,2002-12-28,11,23
137,Fausto Díaz,1,OH,196,2000-04-08,10,26
138,Santiago Danani,1,L,176,1995-12-10,9,30
139,Tobías Scarpa,1,L,175,2002-06-24,5,24
140,Pablo Urchevich,1,S,190,2002-07-10,13,23
141,Darlan Ferreira Souza,3,OPP,192,2002-06-24,1,24
142,Welinton Oppenkoski,3,OPP,194,2000-02-08,2,26
143,Thiery Nascimento,3,MB,200,2000-07-14,3,25
144,Gabriel Bieler,3,S,197,1996-05-08,4,30
145,Matheus Gonçalves,3,S,190,2002-03-12,5,24
146,Adriano Xavier,3,OH,201,2002-04-06,6,24
147,Matheus ?Pinta? Santos,3,MB,204,2003-04-08,7,23
