1,2026-06-10,7,0,0,0,,,,,,,,,,,,,,,
1,2026-06-10,13,0,0,0,,,,,,,,,,,,,,,
2,2026-06-10,6,0,0,0,,,,,,,,,,,,,,,
2,2026-06-10,15,0,0,0,,,,,,,,,,,,,,,
3,2026-06-10,12,0,0,0,,,,,,,,,,,,,,,
3,2026-06-10,17,0,0,0,,,,,,,,,,,,,,,
4,2026-06-10,16,0,0,0,,,,,,,,,,,,,,,
4,2026-06-10,18,0,0,0,,,,,,,,,,,,,,,
5,2026-06-11,2,0,0,0,,,,,,,,,,,,,,,
5,2026-06-11,4,0,0,0,,,,,,,,,,,,,,,
6,2026-06-11,1,0,0,0,,,,,,,,,,,,,,,
6,2026-06-11,14,0,0,0,,,,,,,,,,,,,,,
7,2026-06-11,8,0,0,0,,,,,,,,,,,,,,,
7,2026-06-11,11,0,0,0,,,,,,,,,,,,,,,
8,2026-06-11,3,0,0,0,,,,,,,,,,,,,,,
8,2026-06-11,10,0,0,0,,,,,,,,,,,,,,,
9,2026-06-11,5,0,0,0,,,,,,,,,,,,,,,
9,2026-06-11,9,0,0,0,,,,,,,,,,,,,,,
10,2026-06-11,6,1,0,1,0.0000,74.00,23.00,4.00,16.00,-0.11,0.45,0.19,60.00,0.49,0.31,11.00,6.00,31.00,60.00
10,2026-06-11,17,1,0,1,0.0000,53.00,19.00,5.00,13.00,0.08,0.32,0.25,3.00,0.46,0.28,10.00,6.00,19.00,37.00
11,2026-06-11,13,1,1,0,1.0000,54.00,25.00,6.00,6.00,0.01,0.46,0.28,37.00,0.50,0.31,11.00,8.00,28.00,35.00
11,2026-06-11,15,1,1,0,1.0000,78.00,30.00,2.00,15.00,-0.12,0.45,0.25,63.00,0.55,0.39,13.00,10.00,39.00,62.00
12,2026-06-12,4,1,0,1,0.0000,63.00,20.00,5.00,29.00,-0.22,0.36,0.16,51.00,0.54,0.41,7.00,11.00,29.00,51.00
12,2026-06-12,10,1,0,1,0.0000,55.00,12.00,3.00,21.00,-0.17,0.38,0.15,48.00,0.51,0.33,4.00,3.00,17.00,48.00
13,2026-06-12,9,1,1,0,1.0000,72.00,16.00,3.00,25.00,-0.18,0.42,0.24,62.00,0.05,0.36,7.00,11.00,37.00,61.00
